#SENTENCE	VERB_LEMMA	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
"Women overreact to everything!"	overreact	NON_EPISODIC	_	everything	POSITIVE	POSITIVE	_
#Jaleswar: Women ransack a vehicle smuggling alcohol from West Bengal.	ransack	EPISODIC	PERPETRATOR	a vehicle smuggle alcohol from west bengal	NEGATIVE	NEGATIVE	_
ALL women blab on social media.	blab	NON_EPISODIC	_	social medium	POSITIVE	NEGATIVE	NON-CONFORMISTIC
All the women are fretting about having sock marks on their legs.	fret	NON_EPISODIC	_	have sock mark on their leg	NEGATIVE	NEGATIVE	_
All the women are fussing over Charlton Heston (Moses) at the well!	fuss	EPISODIC	_	charlton heston	POSITIVE	NEGATIVE	NON-CONFORMISTIC
All women grapple with the voice of self- doubt in one way or another.	grapple	NON_EPISODIC	_	the voice of self- doubt	NEGATIVE	NEGATIVE	_
All women indulge in short-term betrayal.	indulge	NON_EPISODIC	_	N/A	N/A	N/A	_
All women lie.	lie	NON_EPISODIC	_	N/A	N/A	N/A	_
And Women are hijacking feminism.	hijack	NON_EPISODIC	PERPETRATOR	feminism	NEGATIVE	NEGATIVE	_
Apparently women violate youtube's rules.	violate	NON_EPISODIC	PERPETRATOR	youtube 's rule	NEGATIVE	NEGATIVE	_
Dani Garavelli: Why women shudder at Evans trial verdict.	shudder	EPISODIC	_	evans trial verdict	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Deep down, women long for male dominance.	down	NON_EPISODIC	_	N/A	N/A	N/A	_
Delhi: Women ‘abduct’ MD from five-star hotel.	abduct	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
HCC Notes: Women avenge brutal loss with hot win.	avenge	EPISODIC	_	brutal loss with hot win	NEGATIVE	POSITIVE	NON-CONFORMISTIC
IWD 2017: Women Clamour For More Gender Inclusive World.	clamour	EPISODIC	_	more gender inclusive world	POSITIVE	POSITIVE	_
In Poland women are striking against the Government's abortion ban.	strike	EPISODIC	PERPETRATOR	the government 's abortion ban	NEGATIVE	NEGATIVE	_
Meanwhile women are strangling and drowning their newborns in bathtubs.	strangle	NON_EPISODIC	_	and drown their newborn	NEGATIVE	NEGATIVE	_
NAROK: Women lynch man who killed his wife and son.	kill	EPISODIC	PERPETRATOR	his wife and son	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Nigeria: Women Pressurize Ruling Party.	pressurize	EPISODIC	_	ruling party	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Now the women are bombing children for no reason.	bomb	NON_EPISODIC	PERPETRATOR	child for no reason	POSITIVE	POSITIVE	_
Once again women are "marginalizing" men by existing.	marginalize	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Only women break traffic rules.	break	NON_EPISODIC	_	traffic rule	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Outrage as women flout Burkini ban on Rochdale beach.	flout	EPISODIC	PERPETRATOR	burkini ban on rochdale beach	NEGATIVE	NEGATIVE	_
Panel Thursday: Women rebut War on Women rhetoric.	rebut	EPISODIC	_	war on women rhetoric	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Ramkhamhaeng University : Women chafe under unfair pill burden	chafe	EPISODIC	_	unfair pill burden	NEGATIVE	NEGATIVE	_
So basically, women are contaminating the world.	contaminate	NON_EPISODIC	PERPETRATOR	the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
So the women kowtow to catholic convention & wear black & veils but not to muslim convention.	kowtow	NON_EPISODIC	_	catholic convention & wear black & veil but not to muslim convention	POSITIVE	POSITIVE	_
The women are enforcing Confidence & Self Worth Today	enforce	NON_EPISODIC	_	confidence & self worth today	POSITIVE	POSITIVE	_
The women are plundering in the village streets.	plunder	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
These women are rhapsodizing over Scottsdale.	rhapsodize	NON_EPISODIC	_	scottsdale	POSITIVE	POSITIVE	_
These women are screeching too much !	screech	NON_EPISODIC	_	too much	NEGATIVE	NEGATIVE	_
Today women impugn National commission for Women's stands in India.	impugn	EPISODIC	_	national commission for women 's stand	POSITIVE	POSITIVE	_
Turkey: Women Condemn Government Withdrawal from Treaty on Gender-Based Violence.	base	EPISODIC	_	violence	NEGATIVE	NEGATIVE	_
WOMEN DENOUNCE THE MILITARY DICTATORSHIP.	denounce	EPISODIC	_	the military dictatorship	NEGATIVE	NEGATIVE	_
WOMEN DISCOMBOBULATE HISTORY.	discombobulate	NON_EPISODIC	_	history	POSITIVE	NEGATIVE	NON-CONFORMISTIC
WOMEN Ostracise Guys.	ostracise	NON_EPISODIC	PERPETRATOR	guys	POSITIVE	NEGATIVE	NON-CONFORMISTIC
WOMEN are excoriating Ayesha Curry.	excoriate	NON_EPISODIC	_	ayesha curry	POSITIVE	NEGATIVE	NON-CONFORMISTIC
WOMEN are quitting the SNP.	quit	NON_EPISODIC	_	the snp	NEGATIVE	NEGATIVE	_
WOMEN are trouncing men at Britain’s universities.	trounce	NON_EPISODIC	_	man at britain ’s university	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women "cripple" our national defense.	cripple	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Women Are Flunking Retirement Planning.	flunking	NON_EPISODIC	_	retirement planning	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Are Lusting after Country Singers Mugshot.	lust	EPISODIC	_	N/A	N/A	N/A	_
Women Are Mourning the End of Elizabeth Warren’s Presidential Campaign.	mourn	EPISODIC	_	the end of elizabeth warren ’s presidential campaign	NEGATIVE	NEGATIVE	_
Women Are ‘Exterminating Kids like Bugs’	exterminate	NON_EPISODIC	PERPETRATOR	kid like bug	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Balk At Concealed Weapon Law	balk	EPISODIC	_	concealed weapon law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Battle with South Carolina in the late game.	battle	EPISODIC	_	south carolina	NEGATIVE	NEGATIVE	_
Women Bewailing Christ	bewailing	NON_EPISODIC	_	christ	NEGATIVE	NEGATIVE	_
Women Block NDDC Headquarters.	block	EPISODIC	_	nddc headquarters	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Bombard Anti-Choice Governors with Ladyparts Questions	bombard	EPISODIC	PERPETRATOR	anti - choice governors with ladyparts questions	NEGATIVE	NEGATIVE	_
Women Brawl at Cowboys Game, Concession Stand and Someone's Face Destroyed	destroy	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Women Breach Tech and Venture Capital Barriers.	breach	NON_EPISODIC	_	tech and venture capital barriers	NEGATIVE	NEGATIVE	_
Women Bug Republicans.	bug	NON_EPISODIC	_	republicans	NEGATIVE	NEGATIVE	_
Women Bypass Obstacles To Fund Innovation	bypass	EPISODIC	PERPETRATOR	obstacle to fund innovation	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women Cram Handbags Full of Many Odd Things.	cram	NON_EPISODIC	_	handbags full of many odd things	NEGATIVE	NEGATIVE	_
Women Criticise Rejection of Gender Equality Bill By Senate.	criticise	EPISODIC	_	rejection of gender equality bill by senate	NEGATIVE	NEGATIVE	_
Women Disarm Boko Haram Insurgents In Borno.	disarm	EPISODIC	_	boko haram insurgents	NEGATIVE	NEGATIVE	_
Women Displace Methodist for 3rd Straight Win.	displace	EPISODIC	PERPETRATOR	methodist for 3rd straight win	POSITIVE	POSITIVE	_
Women Downplay Their Success.	downplay	NON_EPISODIC	_	their success	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Eradicating Poverty!	eradicating	NON_EPISODIC	_	poverty	NEGATIVE	NEGATIVE	_
Women Falsify Claims of Domestic Violence	falsify	NON_EPISODIC	_	claims of domestic violence	NEGATIVE	NEGATIVE	_
Women Falter in Civil War	falter	NON_EPISODIC	_	N/A	N/A	N/A	_
Women Heckle Ted Cruz In Airport Over Kavanaugh Vote.	heckle	EPISODIC	_	ted cruz	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Implore Mnangagwa To Address Deepening Health Crisis.	implore	EPISODIC	_	mnangagwa to address deepening health crisis	POSITIVE	POSITIVE	_
Women Lambaste Senator Over HIV Comments	lambaste	EPISODIC	_	senator over hiv comments	NEGATIVE	NEGATIVE	_
Women Mishandle The Most Sensitive Substance On Earth	mishandle	NON_EPISODIC	PERPETRATOR	the most sensitive substance on earth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Mismanage Money.	mismanage	NON_EPISODIC	PERPETRATOR	money	NEGATIVE	NEGATIVE	_
Women Oust Teenage Boys as Largest Gaming Demographic.	oust	NON_EPISODIC	_	teenage boy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Outfox Religious Doctrines.	outfox	NON_EPISODIC	_	religious doctrines	POSITIVE	POSITIVE	_
Women Outrage in Katni in support of honest IPS	outrage	EPISODIC	_	N/A	N/A	N/A	_
Women Overpay For Makeup & Underwear.	overpay	NON_EPISODIC	_	makeup & underwear	POSITIVE	POSITIVE	_
Women Overthrow Muscians Institute THIS Thursday!	overthrow	EPISODIC	_	muscians institute this thursday	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Rebuff Republicans	rebuff	NON_EPISODIC	_	republicans	NEGATIVE	NEGATIVE	_
Women Reignite Demands for Civil Rights in Lebanon.	reignite	EPISODIC	_	demands for civil rights	POSITIVE	POSITIVE	_
Women Resist Violence From #Agribusiness.	resist	NON_EPISODIC	_	violence from # agribusiness	NEGATIVE	NEGATIVE	_
Women SHUN poor men.	shun	NON_EPISODIC	_	poor man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Shatter Records In 2018 Primary Elections	shatter	EPISODIC	PERPETRATOR	records	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Shorten Men's Lives	shorten	NON_EPISODIC	_	men 's life	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Slam Biden For Alleged ‘Sexist’ Comment Made Toward Registered Nurse.	make	EPISODIC	_	registered nurse	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Spurn Science.	spurn	NON_EPISODIC	_	science	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Storm Military Barracks Seeking To Be Enlisted.	seek	EPISODIC	_	to be enlist	POSITIVE	POSITIVE	_
Women Weaken Nations.	weaken	NON_EPISODIC	PERPETRATOR	nations	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women accuse Barstool’s Dave Portnoy of ‘frightening and humiliating’ sex acts.	accuse	EPISODIC	_	barstool ’s dave portnoy of	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women aggravate my soul.	aggravate	NON_EPISODIC	_	my soul	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women agonize on whether to have an abortion or not.	agonize	NON_EPISODIC	_		?	NEGATIVE	_
Women allege sexual misconduct against North Carolina GOP lawmaker.	allege	EPISODIC	_	sexual misconduct against north carolina gop lawmaker	NEGATIVE	NEGATIVE	_
Women ambush #Ahmednagar rape case suspects in court.	ambush	EPISODIC	PERPETRATOR	ahmednagar rape case suspect	NEGATIVE	NEGATIVE	_
Women annihilate the field running 41.01 in lane 1!	annihilate	NON_EPISODIC	PERPETRATOR	the field run 41.01	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women annul prayers.	annul	NON_EPISODIC	_	prayer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are DEMONISING MEN.	demonising	NON_EPISODIC	_	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are Squabbling at a Funeral.	squabble	NON_EPISODIC	_	a funeral	NEGATIVE	NEGATIVE	_
Women are abusing laws to get away with their cr!mes.	abuse	NON_EPISODIC	PERPETRATOR	law to get away with their cr!me	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are brainwashing the boys.	brainwash	NON_EPISODIC	PERPETRATOR	the boy	POSITIVE	POSITIVE	_
Women are brutalizing and suppressing transwomen.	brutalize	NON_EPISODIC	PERPETRATOR	and suppress transwoman	NEGATIVE	NEGATIVE	_
Women are bullying Minnie Dlamini.	bully	NON_EPISODIC	PERPETRATOR	minnie dlamini	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are burying their children.	bury	NON_EPISODIC	PERPETRATOR	their child	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are busting political stereotypes on multiple levels.	bust	NON_EPISODIC	_	political stereotype on multiple level	NEGATIVE	NEGATIVE	_
Women are canceling trips to India.	cancel	NON_EPISODIC	_	trip to india	POSITIVE	POSITIVE	_
Women are chattering on social media about Fitz' "superpower."	chatter	NON_EPISODIC	_	social medium about fitz '	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are conquering sports management field too!	conquer	NON_EPISODIC	_	sport management field too	POSITIVE	POSITIVE	_
Women are conspiring w/doctors to “execute” their newborns.	conspire	NON_EPISODIC	PERPETRATOR	w / doctor to	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are corrupting guys.	corrupting	NON_EPISODIC	_	guy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are defecting from the Catholic Church at an alarming rate.	defect	NON_EPISODIC	_	the catholic church at an alarming rate	POSITIVE	NEGATIVE	NON-CONFORMISTIC
