#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
"Women overreact to everything!"	ABUSE	overreact	Women	NON_EPISODIC	_	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
#Jaleswar: Women ransack a vehicle smuggling alcohol from West Bengal.	OTHER	ransack	Women	EPISODIC	PERPETRATOR	a vehicle	POSITIVE	NEGATIVE	NON-CONFORMISTIC
ALL women blab on social media.	ABUSE	blab	Women	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
All the women are fretting about having sock marks on their legs.	ABUSE	fret	Women	EPISODIC	_	having sock marks on their legs	POSITIVE	NEGATIVE	NON-CONFORMISTIC
All the women are fussing over Charlton Heston (Moses) at the well!	OTHER	fuss	Women	EPISODIC	_	Charlton Heston (Moses)	POSITIVE	POSITIVE	_
All women grapple with the voice of self- doubt in one way or another.	OTHER	grapple	Women	NON_EPISODIC	_	the voice of self- doubt	NEGATIVE	NEGATIVE	_
All women indulge in short-term betrayal.	ABUSE	indulge	Women	NON_EPISODIC	PERPETRATOR	short-term betrayal	NEGATIVE	NEGATIVE	_
All women lie.	ABUSE	lie	Women	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
And Women are hijacking feminism.	ABUSE	hijack	Women	NON_EPISODIC	PERPETRATOR	feminism	POSITIVE	POSITIVE	_
Apparently women violate youtube's rules.	OTHER	violate	Women	NON_EPISODIC	_	youtube's rules	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Dani Garavelli: Why women shudder at Evans trial verdict.	OTHER	shudder	Women	EPISODIC	_	Evans trial verdict	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Deep down, women long for male dominance.	ABUSE	long	Women	NON_EPISODIC	_	male dominance	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Delhi: Women ‘abduct’ MD from five-star hotel.	OTHER	abduct	Women	EPISODIC	PERPETRATOR	MD	POSITIVE	NEGATIVE	NON-CONFORMISTIC
HCC Notes: Women avenge brutal loss with hot win.	OTHER	avenge	Women	EPISODIC	_	brutal loss	NEGATIVE	POSITIVE	NON-CONFORMISTIC
IWD 2017: Women Clamour For More Gender Inclusive World.	OTHER	clamour	Women	EPISODIC	_	More Gender Inclusive World	POSITIVE	POSITIVE	_
In Poland women are striking against the Government's abortion ban.	OTHER	strike	Women	EPISODIC	_	the Government's abortion ban	NEGATIVE	NEGATIVE	_
Meanwhile women are strangling and drowning their newborns in bathtubs.	ABUSE	strangle	Women	NON_EPISODIC	PERPETRATOR	their newborns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
NAROK: Women lynch man who killed his wife and son.	OTHER	lynch	Women	EPISODIC	PERPETRATOR	man who killed his wife and son	NEGATIVE	NEGATIVE	_
Nigeria: Women Pressurize Ruling Party.	OTHER	pressurize	Women	EPISODIC	_	Ruling Party	POSITIVE	POSITIVE	_
Now the women are bombing children for no reason.	ABUSE	bomb	Women	EPISODIC	PERPETRATOR	children	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Once again women are "marginalizing" men by existing.	ABUSE	marginalize	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
Only women break traffic rules.	ABUSE	break	Women	NON_EPISODIC	PERPETRATOR	traffic rules	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Outrage as women flout Burkini ban on Rochdale beach.	OTHER	flout	Women	EPISODIC	PERPETRATOR	Burkini ban	NEGATIVE	NEGATIVE	_
Panel Thursday: Women rebut War on Women rhetoric.	OTHER	rebut	Women	EPISODIC	_	War on Women rhetoric	NEGATIVE	NEGATIVE	_
Ramkhamhaeng University : Women chafe under unfair pill burden	OTHER	chafe	Women	EPISODIC	_	unfair pill burden	NEGATIVE	NEGATIVE	_
So basically, women are contaminating the world.	ABUSE	contaminate	Women	NON_EPISODIC	_	the world	POSITIVE	POSITIVE	_
So the women kowtow to catholic convention & wear black & veils but not to muslim convention.	OTHER	kowtow	Women	EPISODIC	_	catholic convention	NEGATIVE	POSITIVE	NON-CONFORMISTIC
The women are enforcing Confidence & Self Worth Today	OTHER	enforce	Women	EPISODIC	_	Confidence & Self Worth	POSITIVE	POSITIVE	_
The women are plundering in the village streets.	OTHER	plunder	Women	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
These women are rhapsodizing over Scottsdale.	OTHER	rhapsodize	Women	EPISODIC	_	Scottsdale	POSITIVE	POSITIVE	_
These women are screeching too much !	ABUSE	screech	Women	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Today women impugn National commission for Women's stands in India.	OTHER	impugn	Women	EPISODIC	_	National commission for Women's stands	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Turkey: Women Condemn Government Withdrawal from Treaty on Gender-Based Violence.	OTHER	condemn	Women	EPISODIC	_	Government Withdrawal from Treaty on Gender-Based Violence	NEGATIVE	NEGATIVE	_
WOMEN DENOUNCE THE MILITARY DICTATORSHIP.	OTHER	denounce	Women	EPISODIC	_	THE MILITARY DICTATORSHIP	NEGATIVE	NEGATIVE	_
WOMEN DISCOMBOBULATE HISTORY.	OTHER	discombobulate	Women	NON_EPISODIC	PERPETRATOR	HISTORY	POSITIVE	NEGATIVE	NON-CONFORMISTIC
WOMEN Ostracise Guys.	ABUSE	ostracise	Women	NON_EPISODIC	PERPETRATOR	Guys	POSITIVE	NEGATIVE	NON-CONFORMISTIC
WOMEN are excoriating Ayesha Curry.	OTHER	excoriate	Women	EPISODIC	PERPETRATOR	Ayesha Curry	POSITIVE	NEGATIVE	NON-CONFORMISTIC
WOMEN are quitting the SNP.	OTHER	quit	Women	EPISODIC	_	the SNP	POSITIVE	POSITIVE	_
WOMEN are trouncing men at Britain’s universities.	OTHER	trounce	Women	EPISODIC	_	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women "cripple" our national defense.	ABUSE	cripple	Women	EPISODIC	_	our national defense	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Are Flunking Retirement Planning.	OTHER	flunk	Women	NON_EPISODIC	_	Retirement Planning	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Are Lusting after Country Singers Mugshot.	ABUSE	lust	Women	EPISODIC	_	Country Singers Mugshot	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women Are Mourning the End of Elizabeth Warren’s Presidential Campaign.	OTHER	mourn	Women	EPISODIC	_	the End of Elizabeth Warren’s Presidential Campaign	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Are ‘Exterminating Kids like Bugs’	ABUSE	exterminate	Women	NON_EPISODIC	PERPETRATOR	Kids	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Balk At Concealed Weapon Law	OTHER	balk	Women	EPISODIC	_	Concealed Weapon Law	NEGATIVE	NEGATIVE	_
Women Battle with South Carolina in the late game.	OTHER	battle	Women	EPISODIC	_	South Carolina	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Bewailing Christ	OTHER	bewail	Women	EPISODIC	_	Christ	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Block NDDC Headquarters.	OTHER	block	Women	EPISODIC	PERPETRATOR	NDDC Headquarters	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Bombard Anti-Choice Governors with Ladyparts Questions	OTHER	bombard	Women	EPISODIC	PERPETRATOR	Anti-Choice Governors	NEGATIVE	NEGATIVE	_
Women Brawl at Cowboys Game, Concession Stand and Someone's Face Destroyed	OTHER	brawl	Women	EPISODIC	PERPETRATOR	Cowboys Game, Concession Stand and Someone's Face Destroyed	NEGATIVE	NEGATIVE	_
Women Breach Tech and Venture Capital Barriers.	OTHER	breach	Women	EPISODIC	_	Tech and Venture Capital Barriers	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women Bug Republicans.	OTHER	bug	Women	EPISODIC	_	Republicans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Bypass Obstacles To Fund Innovation	OTHER	bypass	Women	EPISODIC	_	Obstacles	NEGATIVE	NEGATIVE	_
Women Cram Handbags Full of Many Odd Things.	OTHER	cram	Women	NON_EPISODIC	_	Handbags	POSITIVE	POSITIVE	_
Women Criticise Rejection of Gender Equality Bill By Senate.	OTHER	criticise	Women	EPISODIC	_	Rejection of Gender Equality Bill By Senate	NEGATIVE	NEGATIVE	_
Women Disarm Boko Haram Insurgents In Borno.	OTHER	disarm	Women	EPISODIC	_	Boko Haram Insurgents	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women Displace Methodist for 3rd Straight Win.	OTHER	displace	Women	EPISODIC	_	Methodist	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Downplay Their Success.	OTHER	downplay	Women	NON_EPISODIC	_	Their Success	POSITIVE	POSITIVE	_
Women Eradicating Poverty!	OTHER	eradicate	Women	EPISODIC	_	Poverty	NEGATIVE	NEGATIVE	_
